epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,5479.84,0.14714,0.19212,0.06908,0.00279,0.02551,0.99683,0.98889,0.9946,0.9876,0.99756,0.9896,0.99489,0.9827,0.08394,0.18887,0.05874,0.0015,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5560.72,0.14352,0.18697,0.06854,0.00271,0.02487,0.99667,0.98582,0.99459,0.98841,0.99773,0.98602,0.99479,0.9828,0.08278,0.18702,0.0599,0.00149,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5641.37,0.14427,0.18619,0.0674,0.00272,0.02555,0.99615,0.98515,0.99461,0.98869,0.99755,0.98653,0.99469,0.98344,0.08455,0.18826,0.0633,0.00153,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5721.98,0.14177,0.18677,0.07041,0.00264,0.02497,0.99429,0.989,0.99463,0.98874,0.9946,0.99012,0.99479,0.98385,0.08334,0.18631,0.05869,0.00152,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5802.55,0.13667,0.18305,0.06495,0.00256,0.02448,0.99659,0.98722,0.99449,0.98866,0.99722,0.98764,0.99479,0.98355,0.08257,0.18595,0.05486,0.00148,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5882.99,0.13657,0.18308,0.06292,0.00254,0.0244,0.99444,0.98893,0.9945,0.9893,0.9954,0.9898,0.99468,0.98311,0.08319,0.18481,0.05694,0.00146,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5963.49,0.13107,0.1837,0.06352,0.00244,0.0244,0.99504,0.98761,0.99445,0.98896,0.99711,0.98875,0.99467,0.98333,0.08236,0.18379,0.0583,0.00146,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6043.78,0.12709,0.17936,0.06054,0.00238,0.02302,0.99658,0.98612,0.99442,0.98859,0.99749,0.98676,0.99463,0.98326,0.08014,0.18605,0.05969,0.0014,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6124.75,0.12747,0.1833,0.06013,0.00237,0.02326,0.99468,0.98868,0.9947,0.98975,0.99614,0.99001,0.99481,0.98325,0.08227,0.18747,0.05696,0.00145,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6205.4,0.12652,0.17977,0.05858,0.00235,0.02315,0.99601,0.98816,0.9947,0.99049,0.99721,0.98978,0.99482,0.98343,0.08119,0.18746,0.0538,0.00144,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
